Backpack - the left side of the inventory
FOOD_AND_DRINK: JAR_OF_HONEY;APPLE;FISH;GERALT_OF_RIVIA;BUTCHER_OF_BLAVIKEN;RIVIAN_KRIEK
ALCHEMY_INGREDIENT: WOLFSBANE;VERBENA;BALISSE_FRUIT;BLUE_MUTAGEN;LESSER_GREEN_MUTAGEN;GREATER_RED_MUTAGEN
ARMOR: URSINE_ARMOR;FELINE_ARMOR;WOLVEN_GAUNTLETS;URSINE_GAUNTLETS;FELINE_GAUNTLETS;WOLVEN_TROUSERS;URSINE_TROUSERS;URSINE_BOOTS;FELINE_BOOTS
ROACH_ITEM: GRIFFIN_TROPHY;ARACHAS_TROPHY;TEMERIAN_SADDLEBAGS;NILFGAARDIAN_SADDLE;UNDVIK_HORSE_BLINDERS
CRAFTING_COMPONENT: STEEL_INGOT;SILVER_INGOT;DIMERITIUM_PLATE;DARK_STEEL_PLATE;VENOM_EXTRACT;MONSTER_BRAIN;MONSTER_TOOTH;MONSTER_BLOOD
OIL: SPECTER_OIL;ELEMENTAL_OIL;CURSED_OIL;SUPERIOR_HANGED_MANS_VENOM
WEAPON: WOLVEN_STEEL_SWORD;MANTICORE_STEEL_SWORD;AERONDIGHT;HARPY;TRACKING_BOLT;SPLIT_BOLT;FELINE_CROSSBOW
POTION: FOGLET_DECOCTION;COCKATRICE_DECOCTION
BOMB: SUPERIOR_NOTHERN_WIND
QUEST_ITEM: A_MIRACULOUS_GUIDE_TO_GWENT;TESHAM_MUTNA_MASK;BEDROOM_KEY;GATE_KEY;CELL_KEY;LABORATORY_KEY
OTHER_ITEM: ORENS;FLORENS;SILVER_RUBY_NECKLACE;GOLD_RUBY_RING;TABLEWARE;XENOVOX;LETTER_TO_TAMARA

1/7/2023, Saturday 11:55AM
